id	newid	sampletime	male
2137-FEMALE_SAMPLED_49.2362815026435	X2137	49.2362815026435	FALSE
474-MALE_SAMPLED_48.5174724691323	X474	48.5174724691323	TRUE
10906-MALE_SAMPLED_51.1897519909552	X10906	51.1897519909552	TRUE
1116-MALE_SAMPLED_50.3113836335259	X1116	50.3113836335259	TRUE
2619-FEMALE_SAMPLED_51.4222215168419	X2619	51.4222215168419	FALSE
3394-MALE_SAMPLED_48.9579969494379	X3394	48.9579969494379	TRUE
8695-MALE_SAMPLED_51.2463373196087	X8695	51.2463373196087	TRUE
6466-MALE_SAMPLED_49.6469086465667	X6466	49.6469086465667	TRUE
10888-MALE_SAMPLED_51.4997750696502	X10888	51.4997750696502	TRUE
8558-MALE_SAMPLED_50.6483409340735	X8558	50.6483409340735	TRUE
8368-MALE_SAMPLED_50.8435013076532	X8368	50.8435013076532	TRUE
4520-MALE_SAMPLED_51.4878135797343	X4520	51.4878135797343	TRUE
10654-MALE_SAMPLED_51.3801057460959	X10654	51.3801057460959	TRUE
1777-FEMALE_SAMPLED_51.1731422635502	X1777	51.1731422635502	FALSE
592-MALE_SAMPLED_51.1443631449956	X592	51.1443631449956	TRUE
4712-MALE_SAMPLED_50.6539903333186	X4712	50.6539903333186	TRUE
1387-FEMALE_SAMPLED_49.5687564945555	X1387	49.5687564945555	FALSE
9550-FEMALE_SAMPLED_49.1060806320756	X9550	49.1060806320756	FALSE
8553-FEMALE_SAMPLED_48.7132944193444	X8553	48.7132944193444	FALSE
2301-FEMALE_SAMPLED_51.1163006149008	X2301	51.1163006149008	FALSE
2526-MALE_SAMPLED_49.4646842827796	X2526	49.4646842827796	TRUE
1570-MALE_SAMPLED_48.5234106780271	X1570	48.5234106780271	TRUE
2060-MALE_SAMPLED_48.6303072621821	X2060	48.6303072621821	TRUE
6908-MALE_SAMPLED_50.9514990699253	X6908	50.9514990699253	TRUE
10406-MALE_SAMPLED_50.3286314249280	X10406	50.328631424928	TRUE
1548-MALE_SAMPLED_51.2081170439496	X1548	51.2081170439496	TRUE
8882-MALE_SAMPLED_49.0388882089182	X8882	49.0388882089182	TRUE
7199-FEMALE_SAMPLED_51.5082394549399	X7199	51.5082394549399	FALSE
2584-MALE_SAMPLED_50.6731621032822	X2584	50.6731621032822	TRUE
2588-MALE_SAMPLED_48.5924745615347	X2588	48.5924745615347	TRUE
4295-FEMALE_SAMPLED_49.0941457337475	X4295	49.0941457337475	FALSE
9441-FEMALE_SAMPLED_49.4757932458314	X9441	49.4757932458314	FALSE
7664-MALE_SAMPLED_50.8243109151962	X7664	50.8243109151962	TRUE
9751-FEMALE_SAMPLED_50.6129472953043	X9751	50.6129472953043	FALSE
5527-FEMALE_SAMPLED_50.8793822556044	X5527	50.8793822556044	FALSE
7845-FEMALE_SAMPLED_48.5142020893990	X7845	48.514202089399	FALSE
10314-MALE_SAMPLED_48.7514685686919	X10314	48.7514685686919	TRUE
1948-MALE_SAMPLED_51.4800764558612	X1948	51.4800764558612	TRUE
10247-MALE_SAMPLED_49.0201654505226	X10247	49.0201654505226	TRUE
1000-MALE_SAMPLED_48.5295313560645	X1000	48.5295313560645	TRUE
8650-MALE_SAMPLED_51.2828789410423	X8650	51.2828789410423	TRUE
4006-MALE_SAMPLED_51.4109771497323	X4006	51.4109771497323	TRUE
6458-MALE_SAMPLED_50.7696151916179	X6458	50.7696151916179	TRUE
10046-MALE_SAMPLED_49.7007196295316	X10046	49.7007196295316	TRUE
8991-FEMALE_SAMPLED_49.2600667845699	X8991	49.2600667845699	FALSE
10301-MALE_SAMPLED_49.1321057422328	X10301	49.1321057422328	TRUE
289-FEMALE_SAMPLED_50.8126134230996	X289	50.8126134230996	FALSE
6196-MALE_SAMPLED_51.1889511839262	X6196	51.1889511839262	TRUE
9557-FEMALE_SAMPLED_51.3769254648368	X9557	51.3769254648368	FALSE
9858-FEMALE_SAMPLED_49.6110766202918	X9858	49.6110766202918	FALSE
9581-MALE_SAMPLED_49.7568213335480	X9581	49.756821333548	TRUE
1262-MALE_SAMPLED_50.9972396666425	X1262	50.9972396666425	TRUE
9754-MALE_SAMPLED_48.8580670113451	X9754	48.8580670113451	TRUE
9224-FEMALE_SAMPLED_50.1260780255551	X9224	50.1260780255551	FALSE
6344-MALE_SAMPLED_48.9290862901843	X6344	48.9290862901843	TRUE
7400-MALE_SAMPLED_48.5251105999350	X7400	48.525110599935	TRUE
4046-MALE_SAMPLED_49.1775808177198	X4046	49.1775808177198	TRUE
3782-MALE_SAMPLED_48.5298874018489	X3782	48.5298874018489	TRUE
11115-MALE_SAMPLED_51.4041821552682	X11115	51.4041821552682	TRUE
3598-MALE_SAMPLED_51.3833215798958	X3598	51.3833215798958	TRUE
2988-MALE_SAMPLED_48.5859975310749	X2988	48.5859975310749	TRUE
2250-MALE_SAMPLED_48.5303589733093	X2250	48.5303589733093	TRUE
3556-MALE_SAMPLED_50.8525636146086	X3556	50.8525636146086	TRUE
8886-FEMALE_SAMPLED_51.4416542790140	X8886	51.441654279014	FALSE
6105-FEMALE_SAMPLED_50.5574211877546	X6105	50.5574211877546	FALSE
7828-MALE_SAMPLED_49.8913515269532	X7828	49.8913515269532	TRUE
774-MALE_SAMPLED_48.5702283660657	X774	48.5702283660657	TRUE
1858-MALE_SAMPLED_48.8820440055578	X1858	48.8820440055578	TRUE
5862-MALE_SAMPLED_49.6366029946375	X5862	49.6366029946375	TRUE
2829-FEMALE_SAMPLED_49.1234703207164	X2829	49.1234703207164	FALSE
11084-MALE_SAMPLED_49.6559689090363	X11084	49.6559689090363	TRUE
10102-MALE_SAMPLED_49.7525743601154	X10102	49.7525743601154	TRUE
10718-FEMALE_SAMPLED_50.3199485143422	X10718	50.3199485143422	FALSE
