id	newid	sampletime	male
2866-MALE_SAMPLED_49.1109665678765	X2866	49.1109665678765	TRUE
4560-MALE_SAMPLED_50.3231475460294	X4560	50.3231475460294	TRUE
223-FEMALE_SAMPLED_50.4051788616876	X223	50.4051788616876	FALSE
893-FEMALE_SAMPLED_50.3649487690951	X893	50.3649487690951	FALSE
2775-FEMALE_SAMPLED_49.6093383030917	X2775	49.6093383030917	FALSE
10323-MALE_SAMPLED_50.8054692337706	X10323	50.8054692337706	TRUE
5929-FEMALE_SAMPLED_48.8479381366584	X5929	48.8479381366584	FALSE
1543-FEMALE_SAMPLED_48.4226148084222	X1543	48.4226148084222	FALSE
10115-MALE_SAMPLED_51.3566682126789	X10115	51.3566682126789	TRUE
4339-FEMALE_SAMPLED_48.7450351654503	X4339	48.7450351654503	FALSE
1115-FEMALE_SAMPLED_49.7423423062961	X1115	49.7423423062961	FALSE
8633-MALE_SAMPLED_49.8840023986946	X8633	49.8840023986946	TRUE
2232-MALE_SAMPLED_50.9983261835246	X2232	50.9983261835246	TRUE
4313-FEMALE_SAMPLED_49.6130137829992	X4313	49.6130137829992	FALSE
5388-MALE_SAMPLED_48.4704785537857	X5388	48.4704785537857	TRUE
9125-FEMALE_SAMPLED_48.4536843427873	X9125	48.4536843427873	FALSE
8607-MALE_SAMPLED_49.4690857452757	X8607	49.4690857452757	TRUE
1303-FEMALE_SAMPLED_51.3908682698335	X1303	51.3908682698335	FALSE
6990-MALE_SAMPLED_51.2942275246556	X6990	51.2942275246556	TRUE
2360-MALE_SAMPLED_50.4187101409721	X2360	50.4187101409721	TRUE
94-MALE_SAMPLED_50.7063537680029	X94	50.7063537680029	TRUE
9491-MALE_SAMPLED_48.4790432089890	X9491	48.479043208989	TRUE
9608-FEMALE_SAMPLED_48.8983999947037	X9608	48.8983999947037	FALSE
2550-MALE_SAMPLED_50.5170192900064	X2550	50.5170192900064	TRUE
5881-FEMALE_SAMPLED_51.1139466867267	X5881	51.1139466867267	FALSE
1304-MALE_SAMPLED_51.0861583803731	X1304	51.0861583803731	TRUE
8626-FEMALE_SAMPLED_49.3596303644541	X8626	49.3596303644541	FALSE
1610-MALE_SAMPLED_48.8604011193334	X1610	48.8604011193334	TRUE
7018-MALE_SAMPLED_50.7720117762170	X7018	50.772011776217	TRUE
3921-FEMALE_SAMPLED_51.0950391485772	X3921	51.0950391485772	FALSE
1508-MALE_SAMPLED_50.0108946338247	X1508	50.0108946338247	TRUE
1120-MALE_SAMPLED_48.6687482125076	X1120	48.6687482125076	TRUE
1180-MALE_SAMPLED_48.7891226294401	X1180	48.7891226294401	TRUE
2842-MALE_SAMPLED_50.9049676498349	X2842	50.9049676498349	TRUE
7277-FEMALE_SAMPLED_48.5112307055338	X7277	48.5112307055338	FALSE
3191-FEMALE_SAMPLED_49.1649545277420	X3191	49.164954527742	FALSE
1270-MALE_SAMPLED_50.4257523463990	X1270	50.425752346399	TRUE
689-FEMALE_SAMPLED_48.8306868241585	X689	48.8306868241585	FALSE
9176-FEMALE_SAMPLED_48.7818809039841	X9176	48.7818809039841	FALSE
4931-FEMALE_SAMPLED_50.3109168230972	X4931	50.3109168230972	FALSE
1632-MALE_SAMPLED_49.2232794233083	X1632	49.2232794233083	TRUE
4357-FEMALE_SAMPLED_50.9749367753926	X4357	50.9749367753926	FALSE
2084-MALE_SAMPLED_50.4054434637024	X2084	50.4054434637024	TRUE
9495-FEMALE_SAMPLED_50.9460548039011	X9495	50.9460548039011	FALSE
3883-FEMALE_SAMPLED_49.5100881960194	X3883	49.5100881960194	FALSE
4538-MALE_SAMPLED_49.0415531862478	X4538	49.0415531862478	TRUE
367-FEMALE_SAMPLED_50.7612740825812	X367	50.7612740825812	FALSE
10127-FEMALE_SAMPLED_50.2995800895101	X10127	50.2995800895101	FALSE
1959-FEMALE_SAMPLED_51.1171360183458	X1959	51.1171360183458	FALSE
5570-MALE_SAMPLED_48.4080895415924	X5570	48.4080895415924	TRUE
2369-FEMALE_SAMPLED_51.3210776389993	X2369	51.3210776389993	FALSE
9640-MALE_SAMPLED_49.0780766105696	X9640	49.0780766105696	TRUE
1550-MALE_SAMPLED_48.4354679400518	X1550	48.4354679400518	TRUE
2694-MALE_SAMPLED_48.9712799952782	X2694	48.9712799952782	TRUE
2377-FEMALE_SAMPLED_50.8131384865797	X2377	50.8131384865797	FALSE
3158-MALE_SAMPLED_50.7396435951765	X3158	50.7396435951765	TRUE
4960-MALE_SAMPLED_49.9935467736746	X4960	49.9935467736746	TRUE
2276-MALE_SAMPLED_49.0096819165579	X2276	49.0096819165579	TRUE
9438-MALE_SAMPLED_49.4701829217325	X9438	49.4701829217325	TRUE
9034-MALE_SAMPLED_49.5046801613594	X9034	49.5046801613594	TRUE
687-FEMALE_SAMPLED_51.1202393830705	X687	51.1202393830705	FALSE
294-MALE_SAMPLED_48.4260475246652	X294	48.4260475246652	TRUE
6765-FEMALE_SAMPLED_48.4255246370981	X6765	48.4255246370981	FALSE
